experiment,instance,instance_stem,instance_variant,drones,iterations,ticks,repeat,exit_code,urgencia,colisiones,tiempo_ejecucion,tiempo_evaluador,tiempo_decodificador
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,2,100000,50,1,0,151015.0,0.0,30.2186,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,2,100000,50,2,0,153395.0,0.0,30.0115,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,2,100000,50,3,0,154124.0,0.0,28.2541,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,2,100000,50,4,0,150696.0,0.0,30.1972,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,2,100000,50,5,0,150367.0,0.0,30.2237,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,4,100000,50,1,0,106526.0,0.0,33.5574,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,4,100000,50,2,0,102517.0,0.0,34.2401,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,4,100000,50,3,0,109018.0,0.0,35.8599,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,4,100000,50,4,0,121708.0,0.0,37.1408,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,4,100000,50,5,0,107516.0,0.0,32.5029,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,6,100000,50,1,0,80044.0,0.0,38.6221,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,6,100000,50,2,0,104905.0,0.0,46.1254,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,6,100000,50,3,0,94808.0,0.0,43.4681,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,6,100000,50,4,0,89445.0,0.0,40.5912,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,6,100000,50,5,0,104814.0,0.0,44.2066,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,8,100000,50,1,0,182373.0,1.0,51.0916,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,8,100000,50,2,0,379222.0,3.0,48.0365,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,8,100000,50,3,0,75177.0,0.0,45.9493,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,8,100000,50,4,0,68686.0,0.0,44.6674,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,8,100000,50,5,0,81493.0,0.0,48.6272,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,10,100000,50,1,0,170887.0,1.0,52.2811,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,10,100000,50,2,0,66341.0,0.0,49.8465,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,10,100000,50,3,0,171631.0,1.0,45.0571,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,10,100000,50,4,0,64779.0,0.0,48.2648,,
tiempo_vs_drones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,10,100000,50,5,0,272643.0,2.0,53.4227,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,2,100000,50,1,0,674136.0,0.0,77.0446,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,2,100000,50,2,0,690458.0,0.0,85.5642,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,2,100000,50,3,0,673686.0,0.0,85.1208,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,2,100000,50,4,0,669370.0,0.0,71.614,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,2,100000,50,5,0,674317.0,0.0,78.4873,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,4,100000,50,1,0,582936.0,0.0,89.2393,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,4,100000,50,2,0,599081.0,0.0,93.9449,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,4,100000,50,3,0,593365.0,0.0,94.944,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,4,100000,50,4,0,584071.0,0.0,93.2846,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,4,100000,50,5,0,605479.0,0.0,98.3129,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,6,100000,50,1,0,550389.0,0.0,108.641,,
tiempo_vs_drones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,6,100000,50,2,0,579228.0,0.0,118.081,,
